venue,venue_name,label,type,window_end_year,publication_years,papers_in_window,h5_index,h5_median
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2018,"[2014, 2015, 2016, 2017, 2018]",590,78,145.5
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2019,"[2015, 2016, 2017, 2018, 2019]",624,81,146.0
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2020,"[2016, 2017, 2018, 2019, 2020]",677,78,135.0
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2021,"[2017, 2018, 2019, 2020, 2021]",757,74,121.0
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2022,"[2018, 2019, 2020, 2021, 2022]",923,72,112.0
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2023,"[2019, 2020, 2021, 2022, 2023]",1020,68,92.0
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2024,"[2020, 2021, 2022, 2023, 2024]",1188,60,82.0
ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,conference,2025,"[2021, 2022, 2023, 2024, 2025]",1508,50,73.0
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2015,"[2011, 2012, 2013, 2014, 2015]",0,0,
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2016,"[2012, 2013, 2014, 2015, 2016]",4,4,48.0
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2017,"[2013, 2014, 2015, 2016, 2017]",179,51,84.0
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2018,"[2014, 2015, 2016, 2017, 2018]",307,62,99.5
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2019,"[2015, 2016, 2017, 2018, 2019]",525,76,108.5
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2020,"[2016, 2017, 2018, 2019, 2020]",730,80,118.0
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2021,"[2017, 2018, 2019, 2020, 2021]",880,80,119.5
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2022,"[2018, 2019, 2020, 2021, 2022]",908,72,95.0
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2023,"[2019, 2020, 2021, 2022, 2023]",1124,65,86.0
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2024,"[2020, 2021, 2022, 2023, 2024]",1267,51,73.0
PACMPL,Proceedings of the ACM on Programming Languages,PACMPL,journal,2025,"[2021, 2022, 2023, 2024, 2025]",1472,41,60.0
